Argueta,Laura,4379 58058 0108,19990423,7519.47,false,vicerector
Argueta,Gabriela,4379 58058 0108,20080321,39320.25,false,conserje
Colom,Jacobo,4379 58058 0108,19821218,20042.62,false,vicedecano
Colom,Francisco,4379 58058 0108,20101005,5263.89,false,decano
Portillo,Francisco,4379 58058 0108,20160904,51194.03,false,nutricionista
Portillo,Laura,4379 58058 0108,19961012,50486.98,false,rector
Rodriguez,Alvaro,4379 58058 0108,19850710,50472.23,true,programacion,macroeconomia,energia
Rodriguez,Patricia,4379 58058 0108,19821112,3631.96,false,conserje
Sanchez,Jacobo,4379 58058 0108,20170611,32766.78,true,biologia,matematica,programacion
Cerezo,Jacobo,4379 58058 0108,19980616,6689.72,true,energia,microeconomia
